filename,format,width,height,page_url,repo_page_path,repo_public_path,section_on_page,alt_text,caption,prompt_used
cm-hub-hero-toronto-living-room.jpg,jpg,3840,2160,https://ecowoods.ca/hardwood-color-matching-toronto,apps/web/app/hardwood-color-matching-toronto/,apps/web/public/images/color-matching/cm-hub-hero-toronto-living-room.jpg,hero under H1,"Toronto midtown living room with continuous satin white oak floor running onto a stair, late afternoon window light and warm LEDs","Floor, landing and first treads reading as one colour — process, not a promise.","Photoreal Toronto midtown living room, continuous satin white-oak floor into a stair, late afternoon window light plus warm 2700-3000K LEDs."
cm-hub-hero-toronto-living-room.webp,webp,3840,2160,https://ecowoods.ca/hardwood-color-matching-toronto,apps/web/app/hardwood-color-matching-toronto/,apps/web/public/images/color-matching/cm-hub-hero-toronto-living-room.webp,hero under H1,"Toronto midtown living room with continuous satin white oak floor running onto a stair, late afternoon window light and warm LEDs","Floor, landing and first treads reading as one colour — process, not a promise.","Photoreal Toronto midtown living room, continuous satin white-oak floor into a stair, late afternoon window light plus warm 2700-3000K LEDs."
cm-hub-process-01-identify.jpg,jpg,2400,1800,https://ecowoods.ca/hardwood-color-matching-toronto,apps/web/app/hardwood-color-matching-toronto/,apps/web/public/images/color-matching/cm-hub-process-01-identify.jpg,process step 1 Identify what is already there,"Craftsman kneeling at a doorway threshold inspecting grain and a worn finish edge on existing 3-1/4 inch red oak strip, moisture meter on the floor","Identify species, stain and finish type before anything is proposed.",Documentary craftsman kneeling at threshold inspecting worn red-oak strip with moisture meter.
cm-hub-process-01-identify.webp,webp,2400,1800,https://ecowoods.ca/hardwood-color-matching-toronto,apps/web/app/hardwood-color-matching-toronto/,apps/web/public/images/color-matching/cm-hub-process-01-identify.webp,process step 1 Identify what is already there,"Craftsman kneeling at a doorway threshold inspecting grain and a worn finish edge on existing 3-1/4 inch red oak strip, moisture meter on the floor","Identify species, stain and finish type before anything is proposed.",Documentary craftsman kneeling at threshold inspecting worn red-oak strip with moisture meter.
cm-hub-process-02-sample-board.jpg,jpg,2400,1800,https://ecowoods.ca/hardwood-color-matching-toronto,apps/web/app/hardwood-color-matching-toronto/,apps/web/public/images/color-matching/cm-hub-process-02-sample-board.jpg,process step 2 Build the sample against the real material,"Cut-off of an actual floor board on a drop cloth with several small stain trial patches, rag, gloves and an unlabeled open stain can",A cut-off of the actual board — never a generic chip.,"Cut-off of actual floor board with stain trial patches, rag, gloves, unlabeled stain can."
cm-hub-process-02-sample-board.webp,webp,2400,1800,https://ecowoods.ca/hardwood-color-matching-toronto,apps/web/app/hardwood-color-matching-toronto/,apps/web/public/images/color-matching/cm-hub-process-02-sample-board.webp,process step 2 Build the sample against the real material,"Cut-off of an actual floor board on a drop cloth with several small stain trial patches, rag, gloves and an unlabeled open stain can",A cut-off of the actual board — never a generic chip.,"Cut-off of actual floor board with stain trial patches, rag, gloves, unlabeled stain can."
cm-hub-process-03-room-light.jpg,jpg,2400,1800,https://ecowoods.ca/hardwood-color-matching-toronto,apps/web/app/hardwood-color-matching-toronto/,apps/web/public/images/color-matching/cm-hub-process-03-room-light.jpg,"process step 3 Sign off in your room, under your light","Sample board laid on an existing condo floor, half in south-window daylight and half under warm LED pot lights",Toronto condo lighting mixes daylight and LED colour temperatures.,Sample board on condo floor half in daylight half under 3000K pots.
cm-hub-process-03-room-light.webp,webp,2400,1800,https://ecowoods.ca/hardwood-color-matching-toronto,apps/web/app/hardwood-color-matching-toronto/,apps/web/public/images/color-matching/cm-hub-process-03-room-light.webp,"process step 3 Sign off in your room, under your light","Sample board laid on an existing condo floor, half in south-window daylight and half under warm LED pot lights",Toronto condo lighting mixes daylight and LED colour temperatures.,Sample board on condo floor half in daylight half under 3000K pots.
cm-hub-process-04-honest-fail.jpg,jpg,2400,1800,https://ecowoods.ca/hardwood-color-matching-toronto,apps/web/app/hardwood-color-matching-toronto/,apps/web/public/images/color-matching/cm-hub-process-04-honest-fail.jpg,process step 4 Say plainly when it will not work,Mid-field patch on an aged Toronto hallway floor that still reads as a different colour after staining,Sometimes a spot match cannot be made to disappear.,Honest mid-field patch that still reads as a different colour after staining.
cm-hub-process-04-honest-fail.webp,webp,2400,1800,https://ecowoods.ca/hardwood-color-matching-toronto,apps/web/app/hardwood-color-matching-toronto/,apps/web/public/images/color-matching/cm-hub-process-04-honest-fail.webp,process step 4 Say plainly when it will not work,Mid-field patch on an aged Toronto hallway floor that still reads as a different colour after staining,Sometimes a spot match cannot be made to disappear.,Honest mid-field patch that still reads as a different colour after staining.
cm-hub-guide-grid-identification.jpg,jpg,2400,1800,https://ecowoods.ca/guides/color-identification-existing-hardwood-finish,apps/web/app/guides/color-identification-existing-hardwood-finish/,apps/web/public/images/color-matching/cm-hub-guide-grid-identification.jpg,hub card for colour identification guide,Macro of a worn stair nosing where a thin polyurethane film is lifting from the wood,Film finish versus wood — identification starts at a worn edge.,Macro worn stair nosing with lifting thin polyurethane film.
cm-hub-guide-grid-identification.webp,webp,2400,1800,https://ecowoods.ca/guides/color-identification-existing-hardwood-finish,apps/web/app/guides/color-identification-existing-hardwood-finish/,apps/web/public/images/color-matching/cm-hub-guide-grid-identification.webp,hub card for colour identification guide,Macro of a worn stair nosing where a thin polyurethane film is lifting from the wood,Film finish versus wood — identification starts at a worn edge.,Macro worn stair nosing with lifting thin polyurethane film.
cm-hub-guide-grid-stairs.jpg,jpg,2400,1800,https://ecowoods.ca/guides/stair-railing-trim-color-matching-toronto,apps/web/app/guides/stair-railing-trim-color-matching-toronto/,apps/web/public/images/color-matching/cm-hub-guide-grid-stairs.jpg,hub card for stair railing trim guide,"Open stair with stained oak treads, darker walnut stringer and field floor beyond","Stairs, railings and trim are a separate discipline from matching two floor boards.","Open stair, stained oak treads, darker walnut stringer, field floor beyond."
cm-hub-guide-grid-stairs.webp,webp,2400,1800,https://ecowoods.ca/guides/stair-railing-trim-color-matching-toronto,apps/web/app/guides/stair-railing-trim-color-matching-toronto/,apps/web/public/images/color-matching/cm-hub-guide-grid-stairs.webp,hub card for stair railing trim guide,"Open stair with stained oak treads, darker walnut stringer and field floor beyond","Stairs, railings and trim are a separate discipline from matching two floor boards.","Open stair, stained oak treads, darker walnut stringer, field floor beyond."
cm-hub-proof-forest-hill-walnut.jpg,jpg,3840,2160,https://ecowoods.ca/hardwood-color-matching-toronto,apps/web/app/hardwood-color-matching-toronto/,apps/web/public/images/color-matching/cm-hub-proof-forest-hill-walnut.jpg,Proof Forest Hill walnut,Wide black walnut planks in a bright Forest Hill room with natural chocolate-to-silver variation under daylight,Natural walnut variation held even under daylight.,8-12 inch black-walnut wide plank in a bright Forest Hill room.
cm-hub-proof-forest-hill-walnut.webp,webp,3840,2160,https://ecowoods.ca/hardwood-color-matching-toronto,apps/web/app/hardwood-color-matching-toronto/,apps/web/public/images/color-matching/cm-hub-proof-forest-hill-walnut.webp,Proof Forest Hill walnut,Wide black walnut planks in a bright Forest Hill room with natural chocolate-to-silver variation under daylight,Natural walnut variation held even under daylight.,8-12 inch black-walnut wide plank in a bright Forest Hill room.
cm-hub-proof-midtown-three-levels.jpg,jpg,3840,2160,https://ecowoods.ca/hardwood-color-matching-toronto,apps/web/app/hardwood-color-matching-toronto/,apps/web/public/images/color-matching/cm-hub-proof-midtown-three-levels.jpg,Proof Midtown three-level,"Looking up a Toronto townhouse stairwell so basement, main floor and upper landing read as one tone",Three levels coordinated as one house.,Looking up a townhouse stairwell so three levels read as one tone.
cm-hub-proof-midtown-three-levels.webp,webp,3840,2160,https://ecowoods.ca/hardwood-color-matching-toronto,apps/web/app/hardwood-color-matching-toronto/,apps/web/public/images/color-matching/cm-hub-proof-midtown-three-levels.webp,Proof Midtown three-level,"Looking up a Toronto townhouse stairwell so basement, main floor and upper landing read as one tone",Three levels coordinated as one house.,Looking up a townhouse stairwell so three levels read as one tone.
guide-id-hero-rug-reveal.jpg,jpg,3840,2160,https://ecowoods.ca/guides/color-identification-existing-hardwood-finish,apps/web/app/guides/color-identification-existing-hardwood-finish/,apps/web/public/images/guides/guide-id-hero-rug-reveal.jpg,hero,Rug pulled back on an aged red oak floor showing a protected paler patch against the ambered exposed field,UV and traffic change the colour that is already there.,Rug pulled back on aged red-oak: protected pale patch vs ambered exposed field.
guide-id-hero-rug-reveal.webp,webp,3840,2160,https://ecowoods.ca/guides/color-identification-existing-hardwood-finish,apps/web/app/guides/color-identification-existing-hardwood-finish/,apps/web/public/images/guides/guide-id-hero-rug-reveal.webp,hero,Rug pulled back on an aged red oak floor showing a protected paler patch against the ambered exposed field,UV and traffic change the colour that is already there.,Rug pulled back on aged red-oak: protected pale patch vs ambered exposed field.
guide-id-film-vs-penetrating.jpg,jpg,2400,1800,https://ecowoods.ca/guides/color-identification-existing-hardwood-finish,apps/web/app/guides/color-identification-existing-hardwood-finish/,apps/web/public/images/guides/guide-id-film-vs-penetrating.jpg,film vs penetrating,"Split of the same species: flaking film finish at a threshold on the left, penetrating oil sitting in the wood on the right",Finish type has to be identified before a sample is mixed.,"LEFT flaking film finish; RIGHT penetrating hardwax-oil, no film."
guide-id-film-vs-penetrating.webp,webp,2400,1800,https://ecowoods.ca/guides/color-identification-existing-hardwood-finish,apps/web/app/guides/color-identification-existing-hardwood-finish/,apps/web/public/images/guides/guide-id-film-vs-penetrating.webp,film vs penetrating,"Split of the same species: flaking film finish at a threshold on the left, penetrating oil sitting in the wood on the right",Finish type has to be identified before a sample is mixed.,"LEFT flaking film finish; RIGHT penetrating hardwax-oil, no film."
guide-id-ambering-oil.jpg,jpg,2400,1800,https://ecowoods.ca/guides/color-identification-existing-hardwood-finish,apps/web/app/guides/color-identification-existing-hardwood-finish/,apps/web/public/images/guides/guide-id-ambering-oil.jpg,ambering,Same red oak run with a honey-ambered UV-exposed area beside a cooler protected area,An existing floor has aged under its finish for years; a new sample has not.,Same red-oak run: honey-ambered UV-exposed vs cooler protected.
guide-id-ambering-oil.webp,webp,2400,1800,https://ecowoods.ca/guides/color-identification-existing-hardwood-finish,apps/web/app/guides/color-identification-existing-hardwood-finish/,apps/web/public/images/guides/guide-id-ambering-oil.webp,ambering,Same red oak run with a honey-ambered UV-exposed area beside a cooler protected area,An existing floor has aged under its finish for years; a new sample has not.,Same red-oak run: honey-ambered UV-exposed vs cooler protected.
guide-id-three-lights.jpg,jpg,2400,1800,https://ecowoods.ca/guides/color-identification-existing-hardwood-finish,apps/web/app/guides/color-identification-existing-hardwood-finish/,apps/web/public/images/guides/guide-id-three-lights.jpg,three lights,"One stained board shown in three Toronto lights: south window, 3000K pots, and a windowless hall",Colour is signed off in the room's actual light.,"One stained board in three Toronto lights, no text labels."
guide-id-three-lights.webp,webp,2400,1800,https://ecowoods.ca/guides/color-identification-existing-hardwood-finish,apps/web/app/guides/color-identification-existing-hardwood-finish/,apps/web/public/images/guides/guide-id-three-lights.webp,three lights,"One stained board shown in three Toronto lights: south window, 3000K pots, and a windowless hall",Colour is signed off in the room's actual light.,"One stained board in three Toronto lights, no text labels."
guide-stain-hero-chip-vs-aged.jpg,jpg,3840,2160,https://ecowoods.ca/guides/stain-matching-existing-hardwood-floor-toronto,apps/web/app/guides/stain-matching-existing-hardwood-floor-toronto/,apps/web/public/images/guides/guide-stain-hero-chip-vs-aged.jpg,hero,A factory stain chip sitting on a 15-year-old floor that does not match the chip,A stain sample and an aged floor are two different colours by the time the job happens.,Printed or factory stain chip on a 15-year-old floor — they do not match.
guide-stain-hero-chip-vs-aged.webp,webp,3840,2160,https://ecowoods.ca/guides/stain-matching-existing-hardwood-floor-toronto,apps/web/app/guides/stain-matching-existing-hardwood-floor-toronto/,apps/web/public/images/guides/guide-stain-hero-chip-vs-aged.webp,hero,A factory stain chip sitting on a 15-year-old floor that does not match the chip,A stain sample and an aged floor are two different colours by the time the job happens.,Printed or factory stain chip on a 15-year-old floor — they do not match.
guide-stain-same-formula-two-species.jpg,jpg,2400,1800,https://ecowoods.ca/guides/stain-matching-existing-hardwood-floor-toronto,apps/web/app/guides/stain-matching-existing-hardwood-floor-toronto/,apps/web/public/images/guides/guide-stain-same-formula-two-species.jpg,same formula two species,"The same stain on white oak versus red oak: white oak even and cooler, red oak open-grain and warmer",Species changes how a stain actually looks.,One stain on white oak vs red oak.
guide-stain-same-formula-two-species.webp,webp,2400,1800,https://ecowoods.ca/guides/stain-matching-existing-hardwood-floor-toronto,apps/web/app/guides/stain-matching-existing-hardwood-floor-toronto/,apps/web/public/images/guides/guide-stain-same-formula-two-species.webp,same formula two species,"The same stain on white oak versus red oak: white oak even and cooler, red oak open-grain and warmer",Species changes how a stain actually looks.,One stain on white oak vs red oak.
guide-stain-sheen-matte-vs-satin.jpg,jpg,2400,1800,https://ecowoods.ca/guides/stain-matching-existing-hardwood-floor-toronto,apps/web/app/guides/stain-matching-existing-hardwood-floor-toronto/,apps/web/public/images/guides/guide-stain-sheen-matte-vs-satin.jpg,sheen matte vs satin,"Same species boards in daylight, matte finish on the left reading flatter, satin on the right reading richer",A sheen change can read as a colour change.,"Same stain, matte vs satin, same daylight."
guide-stain-sheen-matte-vs-satin.webp,webp,2400,1800,https://ecowoods.ca/guides/stain-matching-existing-hardwood-floor-toronto,apps/web/app/guides/stain-matching-existing-hardwood-floor-toronto/,apps/web/public/images/guides/guide-stain-sheen-matte-vs-satin.webp,sheen matte vs satin,"Same species boards in daylight, matte finish on the left reading flatter, satin on the right reading richer",A sheen change can read as a colour change.,"Same stain, matte vs satin, same daylight."
guide-stain-sample-on-floor.jpg,jpg,2400,1800,https://ecowoods.ca/guides/stain-matching-existing-hardwood-floor-toronto,apps/web/app/guides/stain-matching-existing-hardwood-floor-toronto/,apps/web/public/images/guides/guide-stain-sample-on-floor.jpg,sample on floor,Scrap board stained and laid against the live floor in a Toronto condo living room,"The sample is built against the actual floor, in the actual room.",Scrap board stained and butted to the live floor in a Toronto condo.
guide-stain-sample-on-floor.webp,webp,2400,1800,https://ecowoods.ca/guides/stain-matching-existing-hardwood-floor-toronto,apps/web/app/guides/stain-matching-existing-hardwood-floor-toronto/,apps/web/public/images/guides/guide-stain-sample-on-floor.webp,sample on floor,Scrap board stained and laid against the live floor in a Toronto condo living room,"The sample is built against the actual floor, in the actual room.",Scrap board stained and butted to the live floor in a Toronto condo.
guide-newold-hero-invisible-weave.jpg,jpg,3840,2160,https://ecowoods.ca/guides/matching-new-hardwood-to-old-toronto,apps/web/app/guides/matching-new-hardwood-to-old-toronto/,apps/web/public/images/guides/guide-newold-hero-invisible-weave.jpg,hero,Mid-field repair woven into existing strip oak so the seam is hard to find,"Matching new boards into old starts with species, width and a sample on the real material.","Mid-field repair woven into existing strip oak, seam almost invisible."
guide-newold-hero-invisible-weave.webp,webp,3840,2160,https://ecowoods.ca/guides/matching-new-hardwood-to-old-toronto,apps/web/app/guides/matching-new-hardwood-to-old-toronto/,apps/web/public/images/guides/guide-newold-hero-invisible-weave.webp,hero,Mid-field repair woven into existing strip oak so the seam is hard to find,"Matching new boards into old starts with species, width and a sample on the real material.","Mid-field repair woven into existing strip oak, seam almost invisible."
guide-newold-bad-butt-joint.jpg,jpg,2400,1800,https://ecowoods.ca/guides/matching-new-hardwood-to-old-toronto,apps/web/app/guides/matching-new-hardwood-to-old-toronto/,apps/web/public/images/guides/guide-newold-bad-butt-joint.jpg,failure mode butt joint,"New boards finished separately and butted to an old finish, leaving an obvious seam",Finishing new boards off-site and butting them to old finish is a common failure.,New boards finished separately and butted to old finish — obvious seam.
guide-newold-bad-butt-joint.webp,webp,2400,1800,https://ecowoods.ca/guides/matching-new-hardwood-to-old-toronto,apps/web/app/guides/matching-new-hardwood-to-old-toronto/,apps/web/public/images/guides/guide-newold-bad-butt-joint.webp,failure mode butt joint,"New boards finished separately and butted to an old finish, leaving an obvious seam",Finishing new boards off-site and butting them to old finish is a common failure.,New boards finished separately and butted to old finish — obvious seam.
guide-newold-feather-zone.jpg,jpg,2400,1800,https://ecowoods.ca/guides/matching-new-hardwood-to-old-toronto,apps/web/app/guides/matching-new-hardwood-to-old-toronto/,apps/web/public/images/guides/guide-newold-feather-zone.jpg,feather zone,Overhead of a blending zone where new boards are feathered and finished in one pass with the old field,One sanding and finishing pass across old and new.,"Overhead blending zone, new boards feathered, one finishing pass."
guide-newold-feather-zone.webp,webp,2400,1800,https://ecowoods.ca/guides/matching-new-hardwood-to-old-toronto,apps/web/app/guides/matching-new-hardwood-to-old-toronto/,apps/web/public/images/guides/guide-newold-feather-zone.webp,feather zone,Overhead of a blending zone where new boards are feathered and finished in one pass with the old field,One sanding and finishing pass across old and new.,"Overhead blending zone, new boards feathered, one finishing pass."
guide-newold-threshold-strip.jpg,jpg,2400,1800,https://ecowoods.ca/guides/matching-new-hardwood-to-old-toronto,apps/web/app/guides/matching-new-hardwood-to-old-toronto/,apps/web/public/images/guides/guide-newold-threshold-strip.jpg,threshold strip,Honest room-to-room reducer between an aged red oak floor and a newer white oak floor,Not every room-to-room change should be forced into one colour.,Honest room-to-room reducer between two different floors.
guide-newold-threshold-strip.webp,webp,2400,1800,https://ecowoods.ca/guides/matching-new-hardwood-to-old-toronto,apps/web/app/guides/matching-new-hardwood-to-old-toronto/,apps/web/public/images/guides/guide-newold-threshold-strip.webp,threshold strip,Honest room-to-room reducer between an aged red oak floor and a newer white oak floor,Not every room-to-room change should be forced into one colour.,Honest room-to-room reducer between two different floors.
guide-stair-hero-one-flight.jpg,jpg,3840,2160,https://ecowoods.ca/guides/stair-railing-trim-color-matching-toronto,apps/web/app/guides/stair-railing-trim-color-matching-toronto/,apps/web/public/images/guides/guide-stair-hero-one-flight.jpg,hero,"Full stair flight colour-matched to the upper landing, treads risers and nosings clean",The flight is checked against the landing it meets.,Full flight colour-matched to the upper landing.
guide-stair-hero-one-flight.webp,webp,3840,2160,https://ecowoods.ca/guides/stair-railing-trim-color-matching-toronto,apps/web/app/guides/stair-railing-trim-color-matching-toronto/,apps/web/public/images/guides/guide-stair-hero-one-flight.webp,hero,"Full stair flight colour-matched to the upper landing, treads risers and nosings clean",The flight is checked against the landing it meets.,Full flight colour-matched to the upper landing.
guide-stair-sample-at-nosing.jpg,jpg,2400,1800,https://ecowoods.ca/guides/stair-railing-trim-color-matching-toronto,apps/web/app/guides/stair-railing-trim-color-matching-toronto/,apps/web/public/images/guides/guide-stair-sample-at-nosing.jpg,sample at nosing,Sample board checked at a stair nosing against the field floor on the landing,"The sample sits at the nosing, not only in a workshop.",Sample on a tread cut-off checked at the top nosing against the field floor.
guide-stair-sample-at-nosing.webp,webp,2400,1800,https://ecowoods.ca/guides/stair-railing-trim-color-matching-toronto,apps/web/app/guides/stair-railing-trim-color-matching-toronto/,apps/web/public/images/guides/guide-stair-sample-at-nosing.webp,sample at nosing,Sample board checked at a stair nosing against the field floor on the landing,"The sample sits at the nosing, not only in a workshop.",Sample on a tread cut-off checked at the top nosing against the field floor.
